Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3, D4, D5, D6",SK6812MINI-E,6,SK6812MINI,
S1,RKJXT1F42001,1,RKJXT1F42001,
U1,XIAO-RP2040-SMD,1,XIAO-RP2040-SMD,
